title,number,font,5,1,0
img_title_bowl,35,Stick,0,0,0
img_title_bowl,36,DelaGothic,0,0,0
img_title_bowl,36,HachiMaruPop,0,0,0
img_title_bowl,36,KaiseiDecol,0,0,0
img_title_bowl,36,NotoSansJP,0,0,0
img_title_bowl,36,NotoSerif,0,0,0
img_title_bowl,36,Reggae,0,0,0
img_title_bowl,36,Stick,0,0,0
img_title_bowl,37,DelaGothic,0,0,0
img_title_bowl,37,HachiMaruPop,0,0,0
img_title_bowl,37,KaiseiDecol,0,0,0
img_title_bowl,37,NotoSansJP,0,0,0
img_title_bowl,37,NotoSerif,0,0,0
img_title_bowl,37,Reggae,0,0,0
img_title_bowl,37,Stick,0,0,0
img_title_bowl,38,DelaGothic,0,0,0
img_title_bowl,38,HachiMaruPop,0,0,0
img_title_bowl,38,KaiseiDecol,0,0,0
img_title_bowl,38,NotoSansJP,0,0,0
img_title_bowl,38,NotoSerif,0,0,0
img_title_bowl,38,Reggae,0,0,0
img_title_bowl,38,Stick,0,0,0
img_title_bowl,39,DelaGothic,0,0,0
img_title_bowl,39,HachiMaruPop,0,0,0
img_title_bowl,39,KaiseiDecol,0,0,0
img_title_bowl,39,NotoSansJP,0,0,0
img_title_bowl,39,NotoSerif,0,0,0
img_title_bowl,39,Reggae,0,0,0
img_title_bowl,39,Stick,0,0,0
img_title_bowl,40,DelaGothic,0,0,0
img_title_bowl,40,HachiMaruPop,0,0,0
img_title_bowl,40,KaiseiDecol,0,0,0
img_title_bowl,40,NotoSansJP,0,0,0
img_title_bowl,40,NotoSerif,0,0,0
img_title_bowl,40,Reggae,0,0,0
img_title_bowl,40,Stick,0,0,0
img_title_bowl,41,DelaGothic,0,0,0
img_title_bowl,41,HachiMaruPop,0,0,0
img_title_bowl,41,KaiseiDecol,0,0,0
img_title_bowl,41,NotoSansJP,0,0,0
img_title_bowl,41,NotoSerif,0,0,0
img_title_bowl,41,Reggae,0,0,0
img_title_bowl,41,Stick,0,0,0
img_title_bowl,42,DelaGothic,0,0,1
img_title_bowl,42,HachiMaruPop,1,0,0
img_title_bowl,42,KaiseiDecol,0,0,1
img_title_bowl,42,NotoSansJP,1,0,0
img_title_bowl,42,NotoSerif,0,1,0
img_title_bowl,42,Reggae,0,1,0
img_title_bowl,42,Stick,0,1,0
img_title_bowl,43,DelaGothic,0,0,0
img_title_bowl,43,HachiMaruPop,0,0,0
img_title_bowl,43,KaiseiDecol,0,0,0
img_title_bowl,43,NotoSansJP,0,0,0
img_title_bowl,43,NotoSerif,0,0,0
img_title_bowl,43,Reggae,0,0,0
img_title_bowl,43,Stick,0,0,0
img_title_bowl,44,DelaGothic,0,0,0
img_title_bowl,44,HachiMaruPop,0,0,0
img_title_bowl,44,KaiseiDecol,0,0,0
img_title_bowl,44,NotoSansJP,0,0,0
img_title_bowl,44,NotoSerif,0,0,0
img_title_bowl,44,Reggae,0,0,0
img_title_bowl,44,Stick,0,0,0
img_title_bowl,45,DelaGothic,0,0,0
img_title_bowl,45,HachiMaruPop,0,0,0
img_title_bowl,45,KaiseiDecol,0,0,0
img_title_bowl,45,NotoSansJP,0,0,0
img_title_bowl,45,NotoSerif,0,0,0
img_title_bowl,45,Reggae,0,0,0
img_title_bowl,45,Stick,0,0,0
img_title_bowl,46,DelaGothic,0,0,0
img_title_bowl,46,HachiMaruPop,0,0,0
img_title_bowl,46,KaiseiDecol,0,0,0
img_title_bowl,46,NotoSansJP,0,0,0
img_title_bowl,46,NotoSerif,0,0,0
img_title_bowl,46,Reggae,0,0,0
img_title_bowl,46,Stick,0,0,0
img_title_bowl,47,DelaGothic,0,0,0
img_title_bowl,47,HachiMaruPop,0,0,0
img_title_bowl,47,KaiseiDecol,0,0,0
img_title_bowl,47,NotoSansJP,0,0,0
img_title_bowl,47,NotoSerif,0,0,0
img_title_bowl,47,Reggae,0,0,0
img_title_bowl,47,Stick,0,0,0
img_title_bowl,48,DelaGothic,0,0,0
img_title_bowl,48,HachiMaruPop,0,0,0
img_title_bowl,48,KaiseiDecol,0,0,0
img_title_bowl,48,NotoSansJP,0,0,0
img_title_bowl,48,NotoSerif,0,0,0
img_title_bowl,48,Reggae,0,0,0
img_title_bowl,48,Stick,0,0,0
img_title_bowl,49,DelaGothic,0,0,0
img_title_bowl,49,HachiMaruPop,0,0,0
img_title_bowl,49,KaiseiDecol,0,0,0
img_title_bowl,49,NotoSansJP,0,0,0
img_title_bowl,49,NotoSerif,0,0,0
img_title_bowl,49,Reggae,0,0,0
img_title_bowl,49,Stick,0,0,0
img_title_bowl,50,DelaGothic,0,0,0
img_title_bowl,50,HachiMaruPop,0,0,0
img_title_bowl,50,KaiseiDecol,0,0,0
img_title_bowl,50,NotoSansJP,0,0,0
img_title_bowl,50,NotoSerif,0,0,0
img_title_bowl,50,Reggae,0,0,0
img_title_bowl,50,Stick,0,0,0
img_title_bowl,51,DelaGothic,0,0,0
img_title_bowl,51,HachiMaruPop,0,0,0
img_title_bowl,51,KaiseiDecol,0,0,0
img_title_bowl,51,NotoSansJP,0,0,0
img_title_bowl,51,NotoSerif,0,0,0
img_title_bowl,51,Reggae,0,0,0
img_title_bowl,51,Stick,0,0,0
img_title_bowl,52,DelaGothic,0,0,0
img_title_bowl,52,HachiMaruPop,0,0,0
img_title_bowl,52,KaiseiDecol,0,0,0
img_title_bowl,52,NotoSansJP,0,0,0
img_title_bowl,52,NotoSerif,0,0,0
img_title_bowl,52,Reggae,0,0,0
img_title_bowl,52,Stick,0,0,0
img_title_bowl,53,DelaGothic,0,0,0
img_title_bowl,53,HachiMaruPop,0,0,0
img_title_bowl,53,KaiseiDecol,0,0,0
img_title_bowl,53,NotoSansJP,0,0,0
img_title_bowl,53,NotoSerif,0,0,0
img_title_bowl,53,Reggae,0,0,0
